yieldcalc,production,area
0.6666667,30.0,45.0
0.5993359,1083.0,1807.0
13.514962,21678.0,1604.0
0.65957445,31.0,47.0
0.5239923,273.0,521.0
0.7000964,726.0,1037.0
0.50691247,110.0,217.0
0.71010774,1384.0,1949.0
0.4980243,6680.0,13413.0
0.34123713,662.0,1940.0
1.7949948,5236.0,2917.0
2.699,56679.0,21000.0
13.514962,21678.0,1604.0
1.5526316,59.0,38.0
7114.05,4304000.0,605.0
0.74558824,507.0,680.0
6.625641,2584.0,390.0
2.5,755.0,302.0
7.6089396,37961.0,4989.0
38.42693,23402.0,609.0
2.5,500.0,200.0
0.6,3.0,5.0
0.6042403,342.0,566.0
2.2460089,110863.0,49360.0
0.78115535,6964.0,8915.0
0.7419355,23.0,31.0
0.44827586,26.0,58.0
0.4,2.0,5.0
10.047619,844.0,84.0
0.81363636,179.0,220.0
3.142857,22.0,7.0
0.5,25.0,50.0
0.5217391,60.0,115.0
0.71428573,10.0,14.0
0.778125,747.0,960.0
15.111111,19040.0,1260.0
0.33333334,2.0,6.0
0.5,18.0,36.0
0.41304347,38.0,92.0
0.558952,128.0,229.0
0.6350211,301.0,474.0
0.4889286,8214.0,16800.0
0.55789477,424.0,760.0
1.0859538,518.0,477.0
1.4114286,4446.0,3150.0
15.111111,19040.0,1260.0
1.28125,41.0,32.0
10750.0,1204000.0,112.0
0.7510917,172.0,229.0
8.689412,3693.0,425.0
2.7523808,289.0,105.0
6.6121745,42146.0,6374.0
36.20202,3584.0,99.0
3.0648148,331.0,108.0
3.0357144,85.0,28.0
0.5714286,4.0,7.0
0.6617647,225.0,340.0
1.3453276,87301.0,64892.0
0.6181891,4629.0,7488.0
0.73195875,71.0,97.0
0.6666667,2.0,3.0
7.6448545,93229.0,12195.0
0.6004728,254.0,423.0
4.5761023,3217.0,703.0
0.525,231.0,440.0
0.5,375.0,750.0
0.56046194,825.0,1472.0
0.5075885,602.0,1186.0
14.8787565,14358.0,965.0
0.6545454,108.0,165.0
0.54754096,167.0,305.0
0.76846474,926.0,1205.0
0.5368421,51.0,95.0
0.76666665,368.0,480.0
0.6807639,9803.0,14400.0
0.63338464,4117.0,6500.0
1.0726287,3958.0,3690.0
3.1893728,172864.0,54200.0
14.8787565,14358.0,965.0
2.0,4.0,2.0
14906.061,4919000.0,330.0
0.71236557,1325.0,1860.0
8.452632,803.0,95.0
2.6,1430.0,550.0
8.3567915,32299.0,3865.0
36.2029,4996.0,138.0
4.2,5166.0,1230.0
3.36,84.0,25.0
0.7507246,259.0,345.0
1.4988368,49607.0,33097.0
1.1568627,118.0,102.0
0.75,48.0,64.0
0.2857143,2.0,7.0
10.0,50.0,5.0
0.6213592,64.0,103.0
0.5,4.0,8.0
0.43137255,22.0,51.0
1.4263636,1569.0,1100.0
14.404025,9305.0,646.0
1.0,1.0,1.0
0.375,3.0,8.0
0.44444445,8.0,18.0
